,ID,Date,Hour,Status,Latitude,Longitude,Max_Speed,Min_Pressure,Low_Rad_NE,Low_Rad_SE,Low_Rad_SW,Low_Rad_NW,Med_Rad_NE,Med_Rad_SE,Med_Rad_SW,Med_Rad_NW,High_Rad_NE,High_Rad_SE,High_Rad_SW,High_Rad_NW
271,AL031853,18530908, 0600, HU, 36.8N,  69.9W,100.0,,,,,,,,,,,,,
272,AL031853,18530908, 1200, HU, 37.5N,  67.9W,100.0,,,,,,,,,,,,,
273,AL031853,18530908, 1800, HU, 38.2N,  65.4W,100.0,,,,,,,,,,,,,
274,AL031853,18530909, 0000, HU, 39.0N,  62.3W,100.0,,,,,,,,,,,,,
275,AL031853,18530909, 0600, HU, 39.9N,  59.4W,90.0,,,,,,,,,,,,,
276,AL031853,18530909, 1200, HU, 40.8N,  56.8W,80.0,,,,,,,,,,,,,
277,AL031853,18530909, 1800, HU, 41.9N,  53.4W,70.0,,,,,,,,,,,,,
278,AL031853,18530910, 0000, HU, 42.9N,  49.5W,70.0,,,,,,,,,,,,,
279,AL031853,18530910, 0600, HU, 43.9N,  45.5W,70.0,,,,,,,,,,,,,
280,AL031853,18530910, 1200, HU, 45.0N,  41.2W,70.0,,,,,,,,,,,,,
281,AL031853,18530910, 1800, HU, 46.2N,  36.2W,70.0,,,,,,,,,,,,,
282,AL041853,18530908, 0000, HU, 37.0N,  53.0W,100.0,,,,,,,,,,,,,
283,AL041853,18530908, 0600, HU, 38.0N,  51.0W,100.0,,,,,,,,,,,,,
284,AL041853,18530908, 1200, HU, 39.0N,  49.0W,100.0,,,,,,,,,,,,,
285,AL041853,18530908, 1800, HU, 40.0N,  46.8W,100.0,,,,,,,,,,,,,
286,AL041853,18530909, 0000, HU, 41.3N,  44.0W,100.0,,,,,,,,,,,,,
287,AL041853,18530909, 0600, HU, 42.5N,  41.5W,100.0,,,,,,,,,,,,,
288,AL041853,18530909, 1200, HU, 43.4N,  39.3W,100.0,,,,,,,,,,,,,
289,AL041853,18530909, 1800, HU, 44.5N,  37.2W,100.0,,,,,,,,,,,,,
290,AL041853,18530910, 0000, HU, 45.5N,  34.7W,100.0,,,,,,,,,,,,,
